Jul 31 16:09:19 debian sudo[1543]:   debian : user NOT in sudoers ; TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/systemctl stop speech-dispatcher
Jul 31 16:14:37 debian sudo[1602]:   debian : user NOT in sudoers ; TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=usermood -aG root debian
Jul 31 16:16:44 debian sudo[1657]:   debian : user NOT in sudoers ; TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=usermood -aG sudo debian
Jul 31 16:19:16 debian sudo[1684]:   debian : user NOT in sudoers ; TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/sbin/visudo
Jul 31 16:33:43 debian sudo[2368]:   debian : TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/sbin/rmmod speakup
Oct 08 16:08:57 debian sudo[4687]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/apt install vsftpd
Oct 08 16:09:38 debian sudo[4886]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/nano /etc/vsftpd.conf
Oct 08 16:10:37 debian sudo[5045]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/systemctl restart vsftpd
Oct 08 16:12:13 debian sudo[5104]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/apt install openssh-server
Oct 08 16:12:55 debian sudo[5157]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/nano /etc/ssh/sshd_config
Oct 08 16:14:16 debian sudo[5335]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/systemctl restart ssh
Oct 08 16:14:59 debian sudo[5376]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/apt install net-tools
Oct 08 16:15:16 debian sudo[5442]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/netstat -tuln
Oct 08 16:16:37 debian sudo[5480]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/ls -l /var/www/html
Oct 08 16:17:59 debian sudo[5532]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/chmod -R 777 /var/www/html
Oct 08 16:20:04 debian sudo[5592]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/chmod 777 /var/www/html/wp-config.php
Oct 08 16:21:23 debian sudo[5646]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/nano /etc/apache2/apache2.conf
Oct 08 16:24:30 debian sudo[5975]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/systemctl restart apache2
Oct 08 16:47:18 debian sudo[2008]:   debian : TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/systemctl restart networking
Oct 08 17:23:01 debian sudo[2851]:   debian : TTY=pts/2 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/sbin/ip a
Oct 08 17:25:42 debian sudo[2960]:   debian : TTY=pts/2 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/systemctl restart networking
Jun 04 21:24:31 debian sudo[3109]:   debian : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/apt install htop
Jun 04 21:36:30 debian sudo[3555]:   debian : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/find / -tyoe f -name auth.log
Jun 04 21:36:41 debian sudo[3599]:   debian : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/find / -type f -name auth.log
Jun 04 21:37:49 debian sudo[3671]:   debian : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/find / -type f -iname *auth*
Jun 04 21:44:24 debian sudo[3978]:   debian : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/apt-get update
Jun 04 21:44:50 debian sudo[4251]:   debian : TTY=pts/0 ; PWD=/var/log ; USER=root ; COMMAND=/usr/bin/apt-get upgrade
Jun 04 21:50:37 debian sudo[41948]:   debian : TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/find / -type f -mtime -1
Jun 04 21:51:29 debian sudo[42039]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/apt-get install build-essential
Jun 04 21:54:18 debian sudo[44069]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/apt-get install linux-headers-6.1.0-25-amd64 dkms
Jun 04 21:54:39 debian sudo[44104]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/apt-get install module-assistant
Jun 04 21:55:24 debian sudo[44209]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/apt-get install xserver-xorg xserver-xorg-core
Jun 04 21:55:33 debian sudo[44225]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/m-a prepare
Jun 04 21:57:17 debian sudo[44588]:   debian : TTY=pts/1 ; PWD=/media/cdrom0 ; USER=root ; COMMAND=/usr/bin/sh ./VboxLinuxAdditions.run
Jun 04 21:57:46 debian sudo[44614]:   debian : TTY=pts/1 ; PWD=/media/cdrom0 ; USER=root ; COMMAND=/usr/bin/sh ./VBoxLinuxAdditions.run
Jun 06 20:46:54 debian sudo[2736]:   debian : TTY=pts/0 ; PWD=/var/www/html ; USER=root ; COMMAND=/usr/bin/mysql -u root -pCopiar
Jun 06 21:17:06 debian sudo[4133]:   debian : TTY=pts/0 ; PWD=/var/www/html ; USER=root ; COMMAND=/usr/bin/mysql -u root -p
Jun 09 20:36:48 debian sudo[2535]:   debian : TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/mysql -u root -p
Jun 09 20:46:32 debian sudo[3254]:   debian : TTY=pts/2 ; PWD=/home/debian/Documents ; USER=root ; COMMAND=/usr/bin/mysql -u wordpressuser -p
Jun 09 21:01:08 debian sudo[3491]:   debian : TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/mysql -u wordpressuser -p
Jun 09 21:04:44 debian sudo[3539]:   debian : TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/mysql -u user -p
Jun 09 21:29:33 debian sudo[4073]:   debian : TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/netstat -tuln
Jun 09 21:31:21 debian sudo[4211]:   debian : TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/netstat -tulpn
Jun 09 21:34:36 debian sudo[4392]:   debian : TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/systemctl status vsftpd
Jun 09 21:38:59 debian sudo[4518]:   debian : TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/cat /etc/vsftpd.conf
Jun 09 21:57:07 debian sudo[5343]:   debian : TTY=pts/0 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/cat /etc/vsftpd.conf
Jun 10 19:29:42 debian sudo[4866]:   debian : TTY=pts/0 ; PWD=/etc ; USER=root ; COMMAND=/usr/bin/nano /etc/ssh/sshd_config
Jun 12 19:47:19 debian sudo[7511]:   debian : TTY=pts/1 ; PWD=/home/debian ; USER=root ; COMMAND=/usr/bin/find / -type f -name wp-config.php
